epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2959,1.9963,3.3381,1.89328,0.00296,0.53333,0.00527,0.00109,2.80353,5.04742,2.78194,0.09604,4e-05,4e-05
2,61.5851,1.70351,2.95002,1.6159,0.00296,0.53333,0.00979,0.00298,2.8643,4.57516,2.60956,0.0910882,8.8218e-05,8.8218e-05
3,90.4012,1.77227,2.14682,1.57393,0.00407,0.73333,0.01113,0.00318,2.70426,3.86179,2.16798,0.0861345,0.000134456,0.000134456
4,118.512,1.68622,1.65009,1.45616,0.00444,0.8,0.19074,0.09114,2.46708,3.55576,1.81003,0.0811787,0.000178714,0.000178714
5,146.403,1.76987,1.51189,1.497,0.00407,0.73333,0.33069,0.14021,2.53011,3.445,1.8598,0.076221,0.000220992,0.000220992
6,174.47,1.73263,1.42257,1.45916,0.00781,0.8,0.40102,0.14078,2.42534,3.53488,1.77345,0.0712613,0.00026129,0.00026129
7,203.089,1.73632,1.35205,1.42336,0.00686,0.53333,0.33865,0.13669,2.19156,3.6644,1.63554,0.0662996,0.000299608,0.000299608
8,237.906,1.64033,1.28531,1.40709,0.00683,0.46667,0.30557,0.11625,2.11868,3.6844,1.59078,0.0613359,0.000335946,0.000335946
9,283.329,1.65439,1.19457,1.38467,0.78496,0.24662,0.3331,0.14714,2.12494,3.43139,1.5904,0.0563703,0.000370304,0.000370304
10,327.205,1.70653,1.27228,1.42187,0.73109,0.36471,0.37573,0.14002,2.06351,3.13009,1.59655,0.0514027,0.000402682,0.000402682
11,370.774,1.61971,1.22112,1.37469,0.73619,0.37421,0.44421,0.1667,2.11322,2.81023,1.6271,0.0464331,0.00043308,0.00043308
12,414.495,1.65419,1.1157,1.41475,0.73246,0.54854,0.57005,0.21709,2.27794,2.17768,1.69901,0.0414615,0.000461498,0.000461498
13,459.484,1.59059,1.11455,1.34754,0.70711,0.6,0.63723,0.25357,2.33295,2.00914,1.6962,0.0364879,0.000487936,0.000487936
14,505.458,1.59326,1.09577,1.36345,0.68507,0.53333,0.54489,0.28099,2.2988,2.17342,1.74016,0.0315124,0.000512394,0.000512394
