epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.6356,1.92861,3.25009,1.81134,0.0037,0.66667,0.01057,0.00333,2.68215,3.96942,2.13372,4e-05,4e-05,0.09604
2,96.6052,1.69226,2.70706,1.44099,0.00481,0.86667,0.00963,0.00223,2.79929,4.76111,1.90574,8.8218e-05,8.8218e-05,0.0910882
3,142.272,1.75268,1.96428,1.39043,0.00407,0.73333,0.01222,0.00238,2.71455,3.94889,2.00619,0.000134456,0.000134456,0.0861345
4,187.574,1.74594,1.50993,1.32144,0.0037,0.66667,0.00824,0.002,2.65606,3.76453,2.02945,0.000178714,0.000178714,0.0811787
5,232.683,1.63077,1.399,1.31096,0.0037,0.66667,0.00388,0.00124,2.63407,3.94495,2.13434,0.000220992,0.000220992,0.076221
6,279.436,1.69771,1.38472,1.34903,0.0043,0.33333,0.00287,0.0006,2.50559,3.95427,2.07152,0.00026129,0.00026129,0.0712613
7,324.239,1.75553,1.34361,1.40227,0.00856,0.6,0.14465,0.03711,2.27954,3.8474,1.77332,0.000299608,0.000299608,0.0662996
8,367.756,1.67145,1.29784,1.46318,0.01053,0.66667,0.17468,0.05033,2.15265,3.80453,1.63367,0.000335946,0.000335946,0.0613359
9,412.363,1.6614,1.24713,1.42375,0.01558,0.4,0.20678,0.0448,2.09528,3.95137,1.59839,0.000370304,0.000370304,0.0563703
10,457.326,1.72624,1.18898,1.43939,0.0439,0.6,0.23761,0.07859,2.0488,3.8687,1.50373,0.000402682,0.000402682,0.0514027
11,502.662,1.71774,1.31936,1.43676,0.09346,0.66667,0.37396,0.18569,1.99879,3.6873,1.46057,0.00043308,0.00043308,0.0464331
12,545.191,1.61754,1.18361,1.377,0.15789,0.8,0.723,0.30957,2.091,3.10335,1.42934,0.000461498,0.000461498,0.0414615
13,588.828,1.68841,1.15924,1.46856,0.73536,0.55707,0.6081,0.28342,1.98335,2.75702,1.38205,0.000487936,0.000487936,0.0364879
14,632.478,1.60131,1.15184,1.37683,0.75381,0.6132,0.70108,0.33652,1.90681,2.22266,1.38467,0.000512394,0.000512394,0.0315124
15,676.461,1.65393,1.18573,1.38798,0.70658,0.73333,0.79041,0.36157,1.97421,1.66637,1.44832,0.000534872,0.000534872,0.0265349
16,719.78,1.62068,1.15859,1.34721,0.75868,0.93333,0.89321,0.39997,1.95614,1.53467,1.397,0.00055537,0.00055537,0.0215554
17,765.725,1.58312,1.16313,1.36361,0.82269,0.92826,0.94667,0.36027,2.17663,1.28001,1.49607,0.000573888,0.000573888,0.0165739
18,810.646,1.59066,1.12545,1.34924,0.84069,0.86667,0.94446,0.40967,2.0446,1.17925,1.4062,0.000590426,0.000590426,0.0115904
19,856.188,1.58366,1.0643,1.35822,0.78383,0.96785,0.94446,0.4484,1.83073,1.11211,1.28283,0.000604984,0.000604984,0.00660498
20,899.589,1.5124,1.01162,1.33212,0.73392,0.92002,0.73023,0.3436,2.02608,1.16704,1.54053,0.000617562,0.000617562,0.00161756
21,950.597,1.596,1.05872,1.37282,0.73832,0.86667,0.74723,0.32888,2.04533,1.19681,1.56499,0.000604,0.000604,0.000604
22,994.226,1.51411,1.01005,1.31682,0.73519,0.8,0.69995,0.35422,1.95235,1.2426,1.51132,0.0005842,0.0005842,0.0005842
23,1037.12,1.53633,0.95599,1.34531,0.75171,0.86667,0.76209,0.38017,1.87352,1.24705,1.45891,0.0005644,0.0005644,0.0005644
24,1081.72,1.5986,1.0025,1.37887,0.74882,0.86667,0.76446,0.33105,2.02386,1.22111,1.51603,0.0005446,0.0005446,0.0005446
25,1130.31,1.56562,1.02101,1.37936,0.75318,0.86667,0.76208,0.31748,2.15211,1.22726,1.57001,0.0005248,0.0005248,0.0005248
26,1177.91,1.56263,0.99202,1.37833,0.74963,0.86667,0.77643,0.32136,2.15769,1.25803,1.57382,0.000505,0.000505,0.000505
27,1228.72,1.57929,0.99669,1.31225,0.7574,0.86667,0.78112,0.3163,2.10011,1.25006,1.53991,0.0004852,0.0004852,0.0004852
28,1275.23,1.52819,0.97906,1.34365,0.68755,0.93333,0.78141,0.37522,1.87919,1.21131,1.43702,0.0004654,0.0004654,0.0004654
29,1319.83,1.5052,0.97064,1.2936,0.72603,0.88405,0.78526,0.38775,1.84417,1.20174,1.41727,0.0004456,0.0004456,0.0004456
30,1363.71,1.52571,0.97783,1.3076,0.7264,0.88571,0.78431,0.38059,1.80501,1.20217,1.41926,0.0004258,0.0004258,0.0004258
31,1408.57,1.50834,0.95458,1.30365,0.72996,0.90196,0.75892,0.37005,1.82095,1.18475,1.44808,0.000406,0.000406,0.000406
32,1451.85,1.47182,0.95834,1.29736,0.72293,0.93333,0.75009,0.34889,1.83926,1.08789,1.47616,0.0003862,0.0003862,0.0003862
33,1480.44,1.46724,0.9287,1.27431,0.71587,0.93333,0.74457,0.3405,1.83985,1.05905,1.48496,0.0003664,0.0003664,0.0003664
34,1506.44,1.45236,0.93248,1.30834,0.73039,0.93333,0.7694,0.37762,1.8467,1.04159,1.49584,0.0003466,0.0003466,0.0003466
35,1532.49,1.45801,0.90825,1.2632,0.73538,0.92665,0.77515,0.37772,1.83605,1.03159,1.50635,0.0003268,0.0003268,0.0003268
36,1558.69,1.42055,0.86683,1.24961,0.72944,0.86667,0.77589,0.37766,1.79469,1.01831,1.48349,0.000307,0.000307,0.000307
37,1584.71,1.46727,0.89679,1.33065,0.72804,0.86667,0.76239,0.37372,1.81617,1.01764,1.49309,0.0002872,0.0002872,0.0002872
38,1610.65,1.46274,0.93406,1.30839,0.74544,0.86667,0.75726,0.36842,1.85619,1.03584,1.51218,0.0002674,0.0002674,0.0002674
39,1637.2,1.5156,0.92409,1.31858,0.74921,0.86667,0.76756,0.34586,1.92955,1.04381,1.5551,0.0002476,0.0002476,0.0002476
